Timestep,Timeint,Timestamp,Indoor Temp Goal
262,1310,0.909722222,72
263,1315,0.913194444,72
264,1320,0.916666667,72
265,1325,0.920138889,65
266,1330,0.923611111,65
267,1335,0.927083333,65
268,1340,0.930555556,65
269,1345,0.934027778,65
270,1350,0.9375,65
271,1355,0.940972222,65
272,1360,0.944444444,65
273,1365,0.947916667,65
274,1370,0.951388889,65
275,1375,0.954861111,65
276,1380,0.958333333,65
277,1385,0.961805556,65
278,1390,0.965277778,65
279,1395,0.96875,65
280,1400,0.972222222,65
281,1405,0.975694444,65
282,1410,0.979166667,65
283,1415,0.982638889,65
284,1420,0.986111111,65
285,1425,0.989583333,65
286,1430,0.993055556,65
287,1435,0.996527778,65
288,1440,0,65
